fromNodeId,toNodeId,weight
0,1,9
0,6309,9
0,6353,40
1,0,10
6353,0,7
6353,6354,23
6353,6364,15
6353,6386,1
6309,0,49
6309,6310,33
6309,6344,26
2,3,17
2,4,38
2,7,26
3,2,6
3,309,9
4,2,41
4,273,4
4,274,29
4,388,42
7,2,28
7,8,1
7,16,36
7,3998,6
309,3,21
309,6,22
309,274,24
309,1060390,43
273,4,20
273,3861,3
273,3862,38
273,3872,5
274,4,41
274,309,50
274,3862,4
274,1060215,18
388,4,49
388,389,34
388,4005,21
388,4006,3
5,6,7
5,8,50
5,9,18
6,5,31
6,305,18
6,309,29
6,310,41
6,1060307,20
9,5,9
9,12,23
9,10464,15
8,5,3
8,7,29
305,6,38
310,6,44
310,15,19
310,311,6
1060307,6,25
1060307,1060308,22
1060307,1087545,33
16,7,31
16,17,8
16,18,42
3998,7,47
3998,3999,4
3998,4006,17
12,9,3
12,13,15
12,14,49
10464,9,50
10464,311,26
10,11,7
10,22,36
10,77,46
11,10,38
11,44,42
22,10,18
22,44,10
22,58,26
22,69,26
77,10,37
77,76,25
77,197,49
44,11,39
44,22,33
44,45,20
44,51,43
13,12,34
14,12,11
14,15,48
14,20,44
15,14,33
15,310,39
15,312,15
20,14,13
20,19,17
20,24,3
20,312,40
312,15,12
312,20,46
312,26,15
312,1060297,21
17,16,39
18,16,32
18,24,34
18,266,27
266,18,40
266,303,21
24,18,46
24,20,13
24,23,49
24,303,46
19,20,22
19,21,24
19,23,35
19,25,5
21,19,11
23,19,38
23,24,2
23,38,47
25,19,40
25,26,44
25,29,16
58,22,23
58,50,4
58,70,21
69,22,27
69,70,46
69,76,16
69,83,47
38,23,28
38,39,41
38,52,44
303,24,25
303,39,34
303,266,39
303,304,10
26,25,15
26,37,13
26,312,28
26,1060297,16
29,25,3
29,27,17
29,314,35
37,26,41
37,36,35
37,313,23
37,1059795,33
1060297,26,24
1060297,312,41
1060297,1059754,46
1060297,1059796,32
27,28,34
27,29,18
27,30,24
28,27,24
30,27,22
30,31,13
30,32,20
314,29,38
314,315,10
314,316,45
31,30,15
32,30,19
32,33,26
32,34,8
33,32,33
34,32,24
34,35,42
34,36,50
35,34,30
36,34,40
36,37,8
36,40,34
36,313,40
40,36,43
40,45,17
40,67,3
313,36,12
313,37,35
313,276,34
313,1059823,36
1059795,37,36
1059795,1059796,35
1059795,1059803,39
39,38,40
39,303,21
39,317,34
39,4027,39
52,38,45
52,53,27
52,71,1
52,132,4
4027,39,8
4027,304,25
4027,4004,6
4027,4299,18
317,39,37
317,72,37
317,4041,22
317,4055,50
67,40,13
45,40,15
45,44,1
45,275,45
45,279,33
41,42,28
41,43,8
41,57,36
42,41,5
42,279,22
42,8841,30
43,41,36
57,41,44
57,56,19
57,64,34
57,75,32
8841,42,19
279,42,49
279,45,30
279,53,37
51,44,29
51,50,27
275,45,36
275,276,4
275,284,29
46,47,18
46,56,9
46,59,23
47,46,21
47,55,36
47,60,26
56,46,32
56,57,3
56,65,25
59,46,25
59,60,26
59,65,44
59,68,37
55,47,44
55,49,45
55,54,6
60,47,28
60,54,24
60,59,43
48,49,29
48,54,33
48,63,19
48,277,18
49,48,44
49,55,27
54,48,29
54,55,20
54,60,29
54,62,14
277,48,37
277,53,44
277,326,36
63,48,6
63,62,9
50,51,39
50,58,34
50,61,23
61,50,16
61,70,9
61,81,33
53,52,42
53,277,13
53,278,26
53,279,34
71,52,47
71,72,3
71,319,45
132,52,29
132,151,2
132,152,12
278,53,41
278,148,25
278,156,30
62,54,19
62,63,25
62,68,26
65,56,50
65,59,13
65,75,26
65,78,33
64,57,12
64,66,4
64,80,46
75,57,20
75,65,49
75,80,14
75,82,18
70,58,11
70,61,20
70,69,49
70,93,36
68,59,31
68,62,24
68,78,36
81,61,10
81,79,14
81,93,40
81,95,42
66,64,8
66,73,40
66,86,23
80,64,32
80,75,49
80,86,41
80,87,12
78,65,9
78,68,29
78,82,16
73,66,45
