Date,Open,High,Low,Close,Adj Close,Volume
10/1/2014,17040.46094,17395.53906,15855.12012,17390.51953,17390.51953,2903240000
11/1/2014,17390.90039,17894.83008,17278.35938,17828.24023,17828.24023,1516490000
12/1/2014,17827.26953,18103.44922,17067.58984,17823.07031,17823.07031,2216900000
1/1/2015,17823.07031,17951.7793,17136.30078,17164.94922,17164.94922,2173260000
2/1/2015,17169.99023,18244.38086,17037.75977,18132.69922,18132.69922,1751250000
3/1/2015,18134.05078,18288.63086,17579.26953,17776.11914,17776.11914,2470480000
4/1/2015,17778.51953,18175.56055,17585.00977,17840.51953,17840.51953,2174880000
5/1/2015,17859.26953,18351.35938,17733.11914,18010.67969,18010.67969,1832450000
6/1/2015,18017.82031,18188.81055,17576.5,17619.50977,17619.50977,2219240000
7/1/2015,17638.11914,18137.11914,17399.16992,17689.85938,17689.85938,2034220000
8/1/2015,17696.74023,17704.75977,15370.33008,16528.0293,16528.0293,2726340000
9/1/2015,16528.0293,16933.42969,15942.37012,16284.7002,16284.7002,2724080000
10/1/2015,16278.62012,17799.96094,16013.66016,17663.53906,17663.53906,2605470000
11/1/2015,17672.61914,17977.84961,17210.42969,17719.91992,17719.91992,2334610000
12/1/2015,17719.7207,17901.58008,17116.73047,17425.0293,17425.0293,2521440000
1/1/2016,17405.48047,17405.48047,15450.55957,16466.30078,16466.30078,2844080000
2/1/2016,16453.63086,16795.98047,15503.00977,16516.5,16516.5,2491810000
3/1/2016,16545.66992,17790.10938,16545.66992,17685.08984,17685.08984,2407750000
4/1/2016,17661.74023,18167.63086,17484.23047,17773.64063,17773.64063,2096650000
5/1/2016,17783.7793,17934.60938,17331.07031,17787.19922,17787.19922,1879010000
6/1/2016,17754.55078,18016,17063.08008,17929.99023,17929.99023,2350020000
7/1/2016,17924.24023,18622.00977,17713.44922,18432.24023,18432.24023,1816520000
8/1/2016,18434.5,18722.60938,18247.78906,18400.88086,18400.88086,1695750000
9/1/2016,18396.57031,18551.53906,17992.21094,18308.15039,18308.15039,2101120000
10/1/2016,18279.59961,18399.96094,17959.94922,18142.41992,18142.41992,1793690000
11/1/2016,18158.24023,19225.28906,17883.56055,19123.58008,19123.58008,2107770000
12/1/2016,19149.19922,19987.63086,19138.78906,19762.59961,19762.59961,5952470000
1/1/2017,19872.85938,20125.58008,19677.93945,19864.08984,19864.08984,6482900000
2/1/2017,19923.81055,20851.33008,19831.08984,20812.24023,20812.24023,6185580000
3/1/2017,20957.28906,21169.10938,20412.80078,20663.2207,20663.2207,6941970000
4/1/2017,20665.16992,21070.90039,20379.55078,20940.50977,20940.50977,5392630000
5/1/2017,20962.73047,21112.32031,20553.44922,21008.65039,21008.65039,6613570000
6/1/2017,21030.55078,21535.0293,20994.2207,21349.63086,21349.63086,7214590000
7/1/2017,21392.30078,21929.80078,21279.30078,21891.11914,21891.11914,5569720000
8/1/2017,21961.41992,22179.10938,21600.33984,21948.09961,21948.09961,6150060000
9/1/2017,21981.76953,22419.50977,21709.63086,22405.08984,22405.08984,6342130000
10/1/2017,22423.4707,23485.25,22416,23377.24023,23377.24023,7302910000
11/1/2017,23442.90039,24327.82031,23242.75,24272.34961,24272.34961,7335640000
12/1/2017,24305.40039,24876.07031,23921.90039,24719.2207,24719.2207,6589890000
1/1/2018,24809.34961,26616.71094,24741.69922,26149.39063,26149.39063,9116920000
2/1/2018,26083.03906,26306.69922,23360.28906,25029.19922,25029.19922,9450250000
3/1/2018,25024.03906,25449.15039,23509.06055,24103.10938,24103.10938,8873040000
4/1/2018,24076.59961,24858.9707,23344.51953,24163.15039,24163.15039,8064550000
5/1/2018,24117.28906,25086.49023,23531.31055,24415.83984,24415.83984,7278020000
6/1/2018,24542.08984,25402.83008,23997.21094,24271.41016,24271.41016,7411110000
7/1/2018,24161.5293,25587.24023,24077.56055,25415.18945,25415.18945,5408500000
8/1/2018,25461.63086,26167.93945,24965.76953,25964.82031,25964.82031,5635410000
9/1/2018,25916.07031,26769.16016,25754.32031,26458.31055,26458.31055,5262500000
10/1/2018,26598.35938,26951.81055,24122.23047,25115.75977,25115.75977,8373350000
11/1/2018,25142.08008,26277.82031,24268.74023,25538.46094,25538.46094,7226940000
12/1/2018,25779.57031,25980.21094,21712.5293,23327.46094,23327.46094,8101540000
1/1/2019,23058.60938,25109.61914,22638.41016,24999.66992,24999.66992,7189200000
2/1/2019,25025.31055,26241.41992,24883.03906,25916,25916,5434540000
3/1/2019,26019.66992,26155.98047,25208,25928.67969,25928.67969,6637700000
4/1/2019,26075.09961,26695.96094,26062.58984,26592.91016,26592.91016,5854600000
5/1/2019,26639.06055,26689.39063,24809.50977,24815.03906,24815.03906,6358230000
6/1/2019,24830.16016,26907.36914,24680.57031,26599.96094,26599.96094,5544390000
7/1/2019,26805.85938,27398.67969,26616.21094,26864.26953,26864.26953,5207470000
8/1/2019,26879.85938,27175.58984,25339.59961,26403.2793,26403.2793,8170730000
9/1/2019,26198.25977,26198.25977,25978.2207,26118.01953,26118.01953,223210000
